plant_name
A species of cactus
A tropical laural
Aankuri bankuri
Abaca
Abata cola
Abbotswood potentilla
Abey
Abrojo colorado
Absinthe
Abyssinian mustard
Abyssinian rhodes grass
Abyssinian spurge
Acacia
Acacia mistletoe
Acahual
Aceitillo
Acerillo
Acerola
Achicoria azul
Achiotillo
Acidanthera
Acklin island agave
Acorn banksia
Acorn peperomia
Acuate
Acute spikerush
Adobe navarretia
Adobe popcornflower
Adonis blazingstar
Adria bellflower
Adriatic bellflower
Adriatic soapwort
Adzuki bean
Aegean dock
Aeonium
Aerva
Afghan erysimum
Afica laburnum
African alpine bamboo
African amaranth
African arrowroot
African basil
African bermuda grass
African blackwood
African boxthorn
African bur grass
African bushveld aloe
African buttercup
African candelabra
African caper
African cherry
African copaiba balsamtree
African daisy
African dayflower
African desert banana
African dog rose
African eggplant
African evergreen
African fan palm
African feather grass
African fern pine
African finger millet
African greenheart
African horned cucumber
African jointgrass
African juniper
African kino
African liverseed grass
African locust bean
African love grass
African mahogany
African marigold
African mesquite
African milk bush
African milkbush
African milktree
African milkvetch
African mulberry
African mustard
African myrrh
African oak
African oil palm
African plantain
African plume
African rice
African sage
African satinwood
African scurfpea
African senna
African serpentwood
African sheepbush
African spurge
African sumac
African tamarisk
African teak
African tuliptree
African wild cotton
African wintersweet
African wormwood
Agave
Aggregate eugenia
Aglaonema aroid
Agracejo rastrero
Agrimony
Agueroot
Agueweed
Agulhas conebush
Ain
Ajmaline
Ajowan caraway
Ajuga
Akalbir
Akamas centaury
Akee
Akiraho
Alabama azalea
Alabama skullcap
Alamovine
Alaska brome
Alaska brownish sedge
Alaskan larch
Albaida
Albanian broom
Albany banksia
Albardine
Alberta beardtongue
Alchorntree
Alder buckthorn
Alecrim
Aleppo oak
Aleppo toadflax
Aleutian mountain heath
Aleutian mugwort
Aleutian shield fern
Alexander palm
Alexandra palm
Alexandria cycad
Alfalfa
Algarrobilla
Algarrobo blanco
Algarrobo negro
Algerian barrenwort
Algerian fir
Algerian iris
Algerian ivy
Algerian oak
Algerian oat
Algerian sea lavender
Algerian vetch
Alice sundew
Alkali jimmyweed
Alkali pepperweed
Alkali sacaton
Alkali seepweed
Alkanet
Alkanna
Allegheny brookfoam
Allegheny hawkweed
Allegheny plum
Allegheny serviceberry
Allicoche hedgehog cactus
Allseed
Almex
Almond
Alocasia quilted dreams
Alpine aster
Alpine autumn crocus
Alpine avens
Alpine balsam
Alpine bearberry
Alpine bentgrass
Alpine bistort
Alpine bittercress
Alpine bitterroot
Alpine bog swertia
Alpine buckthorn
Alpine bulrush
Alpine butterbur
Alpine buttercup
Alpine butterwort
Alpine calamint
Alpine campion
Alpine cinquefoil
Alpine clematis
Alpine clover
Alpine clubmoss
Alpine columbine
Alpine currant
Alpine daisybush
Alpine daphne
Alpine delphinium
Alpine dock
Alpine fir
Alpine fleabane
Alpine forget me not
Alpine foxtail
Alpine gentian
Alpine golden buckwheat
Alpine grevillea
Alpine gypsophila
Alpine hairgrass
Alpine hawkweed
Alpine honeysuckle
Alpine larch
Alpine leek
Alpine lily
Alpine marsh violet
Alpine meadow grass
Alpine milkwort
Alpine mintbush
Alpine moon daisy
Alpine pearlwort
Alpine pink
Alpine plantain
Alpine prickly currant
Alpine primrose
Alpine pussytoes
Alpine ragwort
Alpine rockcress
Alpine rose
Alpine rush
Alpine scullcap
Alpine sedge
Alpine sheep sorrel
Alpine snowbell
Alpine soapwort
Alpine speedwell
Alpine squill
Alpine stitchwort
Alpine stonecrop
Alpine strawberry
Alpine sweetvetch
Alpine thistle
Alpine thrift
Alpine timothy
Alpine toadflax
Alpine totara
Alpine valerian
Alpine whitebark pine
Alpine willowherb
Alpine wintergreen
Alpine woodfern
Alpine woodrush
Alpine woodsia
Alpine wormwood
Alpine yellow fleabane
Alpine yellow gum
Alpine yellow violet
Alpine yucca
Alsatian broomrape
Alsike clover
Alstonia
Altai onion
Altea
Aluminium plant
Alumroot
Alyce clover
Alypo globe daisy
Alyssum
Amazon coral tree
Amazonvine
Ambatch
Ambay pumpwood
Ambulia
American agave
American alpine speedwell
American angelica
American ash
American aspen
American barberry
American barnyard grass
American basil
American basswood
American beach grass
American beech
American bellflower
American bittersweet
American black currant
American bladdernut
American blue vervain
American blueberry
American bramble
American brooklime
American buckwheat vine
American bugseed
American burnweed
American carpet grass
American chestnut
American chickweed
American climbing fern
American columbo
American corn mint
American cotton
American cranberry
American cress
American crowfoot grass
American cupscale
American deerweed
American dewberry
American dittany
American dodder
American dog violet
American dogweed
American dragonhead
American dune grass
American dwarf birch
American elm
American everlasting
American false hellebore
American false pennyroyal
American featherfoil
American feverfew
American figwort
American fly honeysuckle
American fox sedge
American fringetree
American garlic
American germander
American ginseng
American globeflower
American golden saxifrage
American goldthread
American gooseberry
American hazelnut
American holly
American licorice
American marshpennywort
American melonleaf
American oil palm
American parsley fern
American pima cotton
American rubberplant
American scurfpea
American sea rocket
American shoreweed
American sicklepod
American silk cotton
American snowbell
American stoneseed
American tearthumb
American threefold
American vetch
American willowherb
American wintergreen
American wisteria
American yellowrocket
Amethyst broomrape
Amethyst eryngo
Amethyst fescue
Amole
Amor seco
Amphibious bistort
Amplexicaule buttercup
Amulla
Amur adonis
Amur barberry
Amur grape
Amur lime
Amur maackia
Amur peppervine
Amur rose
Amur silvergrass
Anacua
Anamu
Andean alder
Andean oak
Andean prairie clover
